"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
"1",0,2,3,1,2,2,3,3,3,3,1,1,1,2,3,2,1,NA,2,1,2,3,2,2,NA,3,NA,3,1,1,1,NA,1,1,2,3,3,2,2,3,1,1,NA,2,NA
"2",2,0,1,1,2,1,1,1,1,3,2,1,2,2,2,3,2,NA,2,1,2,2,1,2,NA,1,NA,2,1,2,2,NA,2,1,1,2,2,2,2,2,1,2,NA,1,NA
"3",4,2,0,3,4,3,3,3,1,5,4,3,4,4,4,5,4,NA,4,3,4,4,3,4,NA,3,NA,4,3,4,4,NA,4,3,3,4,4,4,4,4,3,4,NA,3,NA
"4",1,2,3,0,2,3,3,3,3,3,2,1,2,2,3,3,1,NA,2,1,2,3,2,2,NA,3,NA,3,1,2,1,NA,2,1,2,3,3,2,2,3,1,2,NA,2,NA
"5",1,2,3,1,0,3,3,3,3,3,2,1,2,2,3,3,1,NA,2,1,2,3,2,1,NA,3,NA,3,1,2,1,NA,2,1,2,3,3,1,2,3,1,2,NA,2,NA
"6",1,2,3,1,1,0,3,3,3,3,1,1,1,2,3,2,1,NA,2,1,2,3,2,2,NA,3,NA,3,1,1,1,NA,1,1,2,3,3,2,2,3,1,1,NA,2,NA
"7",3,1,2,2,3,2,0,2,2,4,3,2,3,3,3,4,3,NA,3,2,3,3,2,3,NA,2,NA,3,2,3,3,NA,3,2,2,3,3,3,3,3,2,3,NA,2,NA
"8",2,1,2,2,2,2,2,0,2,4,3,2,2,3,2,3,2,NA,2,2,2,2,1,2,NA,2,NA,2,2,2,2,NA,2,2,1,2,2,2,2,2,2,2,NA,2,NA
"9",3,1,1,2,3,2,2,2,0,4,3,2,3,3,3,4,3,NA,3,2,3,3,2,3,NA,2,NA,3,2,3,3,NA,3,2,2,3,3,3,3,3,2,3,NA,2,NA
"10",2,3,3,2,2,3,4,3,3,0,2,1,2,1,3,3,2,NA,3,2,3,3,2,3,NA,4,NA,3,1,2,2,NA,1,2,3,3,4,3,2,3,1,2,NA,2,NA
"11",2,3,3,1,2,1,4,3,3,3,0,1,1,2,3,2,2,NA,3,1,2,3,2,3,NA,3,NA,3,1,1,2,NA,1,1,2,3,3,3,2,3,1,1,NA,2,NA
"12",2,3,3,1,1,2,4,3,3,3,1,0,1,2,3,2,2,NA,3,1,2,3,2,2,NA,3,NA,3,1,1,2,NA,1,1,2,3,3,2,2,3,1,1,NA,2,NA
"13",1,2,3,1,2,1,3,3,3,3,1,1,0,2,3,2,1,NA,2,1,2,3,2,2,NA,3,NA,3,1,1,1,NA,1,1,2,3,3,2,2,3,1,1,NA,2,NA
"14",2,3,3,2,2,3,4,3,3,1,2,1,2,0,3,3,2,NA,3,2,3,3,2,3,NA,4,NA,3,1,2,2,NA,2,2,3,3,4,3,2,3,1,2,NA,2,NA
"15",2,1,2,2,1,2,1,2,2,4,3,2,2,3,0,3,2,NA,2,2,2,2,1,2,NA,2,NA,1,2,2,2,NA,2,2,2,2,3,2,3,3,2,2,NA,2,NA
"16",2,2,2,1,2,2,3,2,2,3,2,1,1,2,2,0,2,NA,2,1,2,2,1,2,NA,3,NA,2,1,1,2,NA,1,1,2,2,3,2,2,3,1,1,NA,2,NA
"17",1,2,2,1,1,2,3,2,2,3,2,1,1,2,2,2,0,NA,1,1,1,2,1,2,NA,3,NA,2,1,1,1,NA,1,1,2,2,3,2,2,3,1,1,NA,2,NA
"18",2,3,3,2,2,3,4,3,3,3,2,1,2,2,3,3,2,0,3,2,3,3,2,3,NA,4,NA,3,1,2,2,NA,2,2,3,3,4,3,2,3,1,2,NA,2,NA
"19",1,2,3,2,2,3,3,3,3,4,2,2,2,3,3,3,1,NA,0,2,2,3,2,2,NA,3,NA,3,2,2,1,NA,2,2,3,3,4,2,2,3,2,2,NA,2,NA
"20",2,3,3,1,1,3,4,3,3,3,2,1,2,2,3,2,2,NA,3,0,1,3,2,2,NA,3,NA,3,1,2,2,NA,2,1,2,3,3,2,2,3,1,2,NA,2,NA
"21",2,3,3,1,2,2,4,3,3,3,2,1,1,2,3,1,2,NA,3,1,0,3,2,3,NA,3,NA,3,1,1,2,NA,2,1,2,3,3,3,2,3,1,1,NA,2,NA
"22",1,2,3,2,2,3,3,3,3,3,2,1,2,2,3,3,1,NA,2,2,2,0,2,2,NA,3,NA,3,1,2,1,NA,1,2,3,3,4,2,2,3,1,2,NA,2,NA
"23",1,1,1,1,1,2,2,1,1,3,2,1,1,2,1,2,1,NA,1,1,1,1,0,1,NA,2,NA,1,1,1,1,NA,1,1,1,1,2,1,2,2,1,1,NA,2,NA
"24",1,2,2,1,1,3,3,2,2,3,2,1,2,2,2,3,1,NA,2,1,2,2,1,0,NA,3,NA,2,1,2,1,NA,2,1,2,2,3,1,2,3,1,2,NA,2,NA
"25",2,3,3,2,2,3,4,3,3,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,3,0,3,NA,3,1,2,2,NA,1,2,2,2,3,3,2,2,1,2,NA,1,NA
"26",3,2,3,2,2,3,3,3,3,4,3,2,2,3,3,3,3,NA,3,2,3,3,2,3,NA,0,NA,3,2,2,3,NA,3,2,1,3,2,3,2,2,2,2,NA,2,NA
"27",2,3,3,2,1,3,4,3,3,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,2,NA,4,0,3,1,2,2,NA,1,2,3,3,4,2,2,3,1,2,NA,2,NA
"28",2,2,2,2,2,3,3,2,2,4,3,2,2,3,2,3,2,NA,2,2,2,2,1,2,NA,3,NA,0,2,2,2,NA,2,2,2,2,3,2,3,3,2,2,NA,3,NA
"29",1,2,2,1,1,3,3,2,2,3,2,1,2,2,2,3,1,NA,2,1,2,2,1,2,NA,3,NA,2,0,2,1,NA,2,1,2,2,3,2,2,3,1,2,NA,2,NA
"30",1,2,3,1,1,2,3,3,3,3,2,1,1,2,3,1,1,NA,2,1,1,3,2,2,NA,3,NA,3,1,0,1,NA,2,1,2,3,3,2,2,3,1,1,NA,2,NA
"31",1,1,2,1,1,2,2,2,2,3,2,1,1,2,3,2,1,NA,2,1,2,3,2,1,NA,2,NA,3,1,1,0,NA,1,1,2,2,3,1,1,2,1,1,NA,1,NA
"32",2,1,2,2,2,2,2,2,2,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,3,NA,2,NA,3,1,2,2,0,2,2,1,3,1,3,2,2,1,2,NA,2,NA
"33",2,3,3,2,2,3,4,3,3,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,3,NA,4,NA,3,1,2,2,NA,0,2,3,3,4,3,2,3,1,2,NA,2,NA
"34",1,2,3,1,2,2,3,3,3,3,2,1,1,2,3,2,1,NA,2,1,2,3,2,2,NA,2,NA,3,1,1,1,NA,1,0,1,3,2,2,2,2,1,1,NA,2,NA
"35",2,1,2,1,1,2,2,2,2,3,2,1,1,2,2,2,2,NA,2,1,2,2,1,2,NA,1,NA,2,1,1,2,NA,2,1,0,2,1,2,1,1,1,1,NA,1,NA
"36",2,3,3,2,2,3,4,3,3,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,3,NA,3,NA,3,1,2,2,NA,2,2,2,0,3,3,2,2,1,2,NA,1,NA
"37",3,2,3,2,2,3,3,3,3,4,3,2,2,3,3,3,3,NA,3,2,3,3,2,3,NA,2,NA,3,2,2,3,NA,3,2,1,3,0,3,2,2,2,2,NA,2,NA
"38",1,2,3,1,1,3,3,3,3,3,2,1,2,2,3,3,1,NA,2,1,2,3,2,1,NA,3,NA,3,1,2,1,NA,1,1,2,3,3,0,2,3,1,2,NA,2,NA
"39",2,3,3,1,2,2,4,3,3,3,2,1,1,2,3,2,2,NA,3,1,2,3,2,3,NA,3,NA,3,1,1,2,NA,1,1,2,2,3,3,0,2,1,1,NA,1,NA
"40",2,3,3,2,2,3,4,3,3,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,3,NA,3,NA,3,1,2,2,NA,2,2,2,2,3,3,2,0,1,2,NA,1,NA
"41",2,3,3,1,2,2,4,3,3,2,2,1,1,1,3,2,2,NA,3,1,2,3,2,3,NA,3,NA,3,1,1,2,NA,1,1,2,2,3,3,1,2,0,1,NA,1,NA
"42",1,2,2,1,2,2,3,2,2,3,2,1,1,2,2,2,1,NA,2,1,2,2,1,2,NA,3,NA,2,1,1,1,NA,1,1,2,2,3,2,1,2,1,0,NA,1,NA
"43",2,3,3,2,2,3,4,3,3,3,2,1,2,2,3,3,2,NA,3,2,3,3,2,1,NA,4,NA,3,1,2,2,NA,2,2,3,3,4,1,2,3,1,2,0,2,NA
"44",2,2,3,1,2,2,3,3,3,3,2,1,1,2,3,2,2,NA,3,1,2,3,2,3,NA,2,NA,3,1,1,2,NA,1,1,1,1,2,3,1,1,1,1,NA,0,NA
"45",2,3,3,1,2,1,4,3,3,1,1,1,1,2,3,2,2,NA,3,1,2,3,2,3,1,3,NA,3,1,1,2,NA,1,1,2,1,3,3,2,2,1,1,NA,1,0
